"Commune";"insee";"An";"N";"SAU";"Culture";"Commune_MAJ";"SAU_irri";"lib"
"La Possession";97408;2000;6;1;"Horticulture";NA;NA;NA
"Saint-André";97409;2000;18;4;"PAPAM";NA;NA;NA
"Saint-André";97409;2000;246;2938;"Canne à sucre";NA;NA;NA
"Saint-André";97409;2000;23;13;"STH & fourrages";NA;NA;NA
"Saint-André";97409;2000;5;0;"Grain";NA;NA;NA
"Saint-André";97409;2000;15;5;"Horticulture";NA;NA;NA
"Saint-Benoît";97410;2000;5;2;"Céréales";NA;NA;NA
"Saint-Benoît";97410;2000;15;14;"PAPAM";NA;NA;NA
"Saint-Benoît";97410;2000;513;2791;"Canne à sucre";NA;NA;NA
"Saint-Benoît";97410;2000;57;276;"STH & fourrages";NA;NA;NA
"Saint-Benoît";97410;2000;12;18;"Horticulture";NA;NA;NA
"Saint-Denis";97411;2000;9;3;"Céréales";NA;NA;NA
"Saint-Denis";97411;2000;14;1;"PAPAM";NA;NA;NA
"Saint-Denis";97411;2000;91;367;"Canne à sucre";NA;NA;NA
"Saint-Denis";97411;2000;43;44;"STH & fourrages";NA;NA;NA
"Saint-Denis";97411;2000;20;7;"Horticulture";NA;NA;NA
"Saint-Joseph";97412;2000;24;15;"Céréales";NA;NA;NA
"Saint-Joseph";97412;2000;24;10;"PAPAM";NA;NA;NA
"Saint-Joseph";97412;2000;352;1698;"Canne à sucre";NA;NA;NA
"Saint-Joseph";97412;2000;140;667;"STH & fourrages";NA;NA;NA
"Saint-Joseph";97412;2000;10;2;"Grain";NA;NA;NA
"Saint-Leu";97413;2000;82;54;"Céréales";NA;NA;NA
"Saint-Leu";97413;2000;11;2;"PAPAM";NA;NA;NA
"Saint-Leu";97413;2000;277;1446;"Canne à sucre";NA;NA;NA
"Saint-Leu";97413;2000;111;1327;"STH & fourrages";NA;NA;NA
"Saint-Leu";97413;2000;23;8;"Grain";NA;NA;NA
"Saint-Leu";97413;2000;9;2;"Horticulture";NA;NA;NA
"Saint-Louis";97414;2000;20;4;"Céréales";NA;NA;NA
"Saint-Louis";97414;2000;25;5;"PAPAM";NA;NA;NA
"Saint-Louis";97414;2000;443;1552;"Canne à sucre";NA;NA;NA
"Saint-Louis";97414;2000;99;223;"STH & fourrages";NA;NA;NA
"Saint-Louis";97414;2000;25;4;"Grain";NA;NA;NA
"Saint-Louis";97414;2000;6;1;"Horticulture";NA;NA;NA
"Saint-Paul";97415;2000;124;63;"Céréales";NA;NA;NA
"Saint-Paul";97415;2000;45;13;"PAPAM";NA;NA;NA
"Saint-Paul";97415;2000;493;1857;"Canne à sucre";NA;NA;NA
"Saint-Paul";97415;2000;207;1036;"STH & fourrages";NA;NA;NA
"Saint-Paul";97415;2000;41;14;"Grain";NA;NA;NA
"Saint-Paul";97415;2000;38;15;"Horticulture";NA;NA;NA
"Saint-Pierre";97416;2000;24;12;"Céréales";NA;NA;NA
"Saint-Pierre";97416;2000;726;3455;"Canne à sucre";NA;NA;NA
"Saint-Pierre";97416;2000;106;420;"STH & fourrages";NA;NA;NA
"Saint-Pierre";97416;2000;11;2;"Grain";NA;NA;NA
"Saint-Philippe";97417;2000;91;162;"PAPAM";NA;NA;NA
"Saint-Philippe";97417;2000;130;757;"Canne à sucre";NA;NA;NA
"Sainte-Marie";97418;2000;4;2;"Céréales";NA;NA;NA
"Sainte-Marie";97418;2000;108;2069;"Canne à sucre";NA;NA;NA
"Sainte-Marie";97418;2000;65;253;"STH & fourrages";NA;NA;NA
"Sainte-Marie";97418;2000;3;0;"Grain";NA;NA;NA
"Sainte-Marie";97418;2000;47;16;"Horticulture";NA;NA;NA
"Sainte-Rose";97419;2000;17;29;"PAPAM";NA;NA;NA
"Sainte-Rose";97419;2000;185;1159;"Canne à sucre";NA;NA;NA
"Sainte-Suzanne";97420;2000;6;4;"Céréales";NA;NA;NA
"Sainte-Suzanne";97420;2000;14;4;"PAPAM";NA;NA;NA
"Sainte-Suzanne";97420;2000;191;1403;"Canne à sucre";NA;NA;NA
"Sainte-Suzanne";97420;2000;22;33;"STH & fourrages";NA;NA;NA
"Sainte-Suzanne";97420;2000;5;2;"Horticulture";NA;NA;NA
"Salazie";97421;2000;15;12;"Céréales";NA;NA;NA
"Salazie";97421;2000;5;2;"PAPAM";NA;NA;NA
"Salazie";97421;2000;18;73;"Canne à sucre";NA;NA;NA
"Salazie";97421;2000;100;93;"STH & fourrages";NA;NA;NA
"Salazie";97421;2000;9;4;"Horticulture";NA;NA;NA
"Le Tampon";97422;2000;31;14;"Céréales";NA;NA;NA
"Le Tampon";97422;2000;28;8;"PAPAM";NA;NA;NA
"Le Tampon";97422;2000;241;1305;"Canne à sucre";NA;NA;NA
"Le Tampon";97422;2000;417;5241;"STH & fourrages";NA;NA;NA
"Le Tampon";97422;2000;77;17;"Grain";NA;NA;NA
"Le Tampon";97422;2000;92;29;"Horticulture";NA;NA;NA
"Les Trois-Bassins";97423;2000;11;6;"Céréales";NA;NA;NA
"Les Trois-Bassins";97423;2000;78;251;"Canne à sucre";NA;NA;NA
"Les Trois-Bassins";97423;2000;63;682;"STH & fourrages";NA;NA;NA
"Cilaos";97424;2000;73;26;"Céréales";NA;NA;NA
"Cilaos";97424;2000;26;17;"STH & fourrages";NA;NA;NA
"Cilaos";97424;2000;85;49;"Grain";NA;NA;NA
"Les Avirons";97401;2010;34;112,49;"STH & fourrages";"LES AVIRONS";10,7;NA
"Les Avirons";97401;2020;26;57,04;"STH & fourrages";"LES AVIRONS";8,92;NA
"Les Avirons";97401;2010;58;26,4;"Maraîchage & tubercules";"LES AVIRONS";8,97;NA
"Les Avirons";97401;2020;30;10,92;"Maraîchage & tubercules";"LES AVIRONS";8,86;NA
"Les Avirons";97401;2010;0;0;"Céréales";"LES AVIRONS";0;"céréales"
"Les Avirons";97401;2020;0;0;"Céréales";"LES AVIRONS";NA;"céréales"
"Les Avirons";97401;2010;0;0;"Grain";"LES AVIRONS";0;"protéagineux et légumes secs pour leur graine"
"Les Avirons";97401;2020;0;0;"Grain";"LES AVIRONS";NA;"protéagineux et légumes secs pour leur graine"
"Les Avirons";97401;2010;36;136,19;"Canne à sucre";"LES AVIRONS";55,69;"plantes à fibres et plantes industrielles diverses"
"Les Avirons";97401;2020;21;98,29;"Canne à sucre";"LES AVIRONS";33,91;"plantes à fibres et plantes industrielles diverses"
"Les Avirons";97401;2010;15;1,28;"PAPAM";"LES AVIRONS";1,12;"plantes à parfum, aromatiques, médicinales"
"Les Avirons";97401;2020;11;2,17;"PAPAM";"LES AVIRONS";2,13;"plantes à parfum, aromatiques, médicinales"
"Les Avirons";97401;2010;7;2,35;"Horticulture";"LES AVIRONS";0;"Fleurs et plantes ornementales"
"Les Avirons";97401;2020;5;2,22;"Horticulture";"LES AVIRONS";2,12;"Fleurs et plantes ornementales"
"Bras-Panon";97402;2010;10;6,63;"STH & fourrages";"BRAS-PANON";0;NA
"Bras-Panon";97402;2020;6;7,68;"STH & fourrages";"BRAS-PANON";0;NA
"Bras-Panon";97402;2010;18;10,8;"Maraîchage & tubercules";"BRAS-PANON";0,73;NA
"Bras-Panon";97402;2020;17;4,9;"Maraîchage & tubercules";"BRAS-PANON";0,8;NA
"Bras-Panon";97402;2010;NA;NA;"Céréales";"BRAS-PANON";NA;"céréales"
"Bras-Panon";97402;2020;NA;0,6;"Céréales";"BRAS-PANON";NA;"céréales"
"Bras-Panon";97402;2010;0;0;"Grain";"BRAS-PANON";0;"protéagineux et légumes secs pour leur graine"
"Bras-Panon";97402;2020;NA;NA;"Grain";"BRAS-PANON";NA;"protéagineux et légumes secs pour leur graine"
"Bras-Panon";97402;2010;139;899,48;"Canne à sucre";"BRAS-PANON";0;"plantes à fibres et plantes industrielles diverses"
"Bras-Panon";97402;2020;116;842,01;"Canne à sucre";"BRAS-PANON";NA;"plantes à fibres et plantes industrielles diverses"
"Bras-Panon";97402;2010;5;3,24;"PAPAM";"BRAS-PANON";NA;"plantes à parfum, aromatiques, médicinales"
"Bras-Panon";97402;2020;11;8,95;"PAPAM";"BRAS-PANON";0,37;"plantes à parfum, aromatiques, médicinales"
"Bras-Panon";97402;2010;7;7,09;"Horticulture";"BRAS-PANON";0;"Fleurs et plantes ornementales"
"Bras-Panon";97402;2020;3;0,64;"Horticulture";"BRAS-PANON";NA;"Fleurs et plantes ornementales"
"Entre-Deux";97403;2010;20;27,32;"STH & fourrages";"ENTRE-DEUX";13,94;NA
"Entre-Deux";97403;2020;13;8,87;"STH & fourrages";"ENTRE-DEUX";5,11;NA
"Entre-Deux";97403;2010;64;44,59;"Maraîchage & tubercules";"ENTRE-DEUX";41,93;NA
"Entre-Deux";97403;2020;44;24,92;"Maraîchage & tubercules";"ENTRE-DEUX";24,1;NA
"Entre-Deux";97403;2010;0;0;"Céréales";"ENTRE-DEUX";0;"céréales"
"Entre-Deux";97403;2020;NA;0,23;"Céréales";"ENTRE-DEUX";NA;"céréales"
"Entre-Deux";97403;2010;NA;NA;"Grain";"ENTRE-DEUX";NA;"protéagineux et légumes secs pour leur graine"
"Entre-Deux";97403;2020;0;0;"Grain";"ENTRE-DEUX";NA;"protéagineux et légumes secs pour leur graine"
"Entre-Deux";97403;2010;8;16,62;"Canne à sucre";"ENTRE-DEUX";11,92;"plantes à fibres et plantes industrielles diverses"
"Entre-Deux";97403;2020;4;9,89;"Canne à sucre";"ENTRE-DEUX";NA;"plantes à fibres et plantes industrielles diverses"
"Entre-Deux";97403;2010;7;1,15;"PAPAM";"ENTRE-DEUX";1,15;"plantes à parfum, aromatiques, médicinales"
"Entre-Deux";97403;2020;9;1,89;"PAPAM";"ENTRE-DEUX";1,86;"plantes à parfum, aromatiques, médicinales"
"Entre-Deux";97403;2010;NA;NA;"Horticulture";"ENTRE-DEUX";0;"Fleurs et plantes ornementales"
"Entre-Deux";97403;2020;NA;NA;"Horticulture";"ENTRE-DEUX";NA;"Fleurs et plantes ornementales"
"L'Étang-Salé";97404;2010;44;64,16;"STH & fourrages";"L'ETANG-SALE";44,01;NA
"L'Étang-Salé";97404;2020;43;84,06;"STH & fourrages";"L'ETANG-SALE";63,3;NA
"L'Étang-Salé";97404;2010;62;29,94;"Maraîchage & tubercules";"L'ETANG-SALE";25,85;NA
"L'Étang-Salé";97404;2020;50;32,28;"Maraîchage & tubercules";"L'ETANG-SALE";29,78;NA
"L'Étang-Salé";97404;2010;NA;NA;"Céréales";"L'ETANG-SALE";NA;"céréales"
"L'Étang-Salé";97404;2020;NA;0,4;"Céréales";"L'ETANG-SALE";NA;"céréales"
"L'Étang-Salé";97404;2010;0;0;"Grain";"L'ETANG-SALE";0;"protéagineux et légumes secs pour leur graine"
"L'Étang-Salé";97404;2020;NA;NA;"Grain";"L'ETANG-SALE";NA;"protéagineux et légumes secs pour leur graine"
"L'Étang-Salé";97404;2010;46;284,24;"Canne à sucre";"L'ETANG-SALE";203,99;"plantes à fibres et plantes industrielles diverses"
"L'Étang-Salé";97404;2020;36;175,53;"Canne à sucre";"L'ETANG-SALE";149,46;"plantes à fibres et plantes industrielles diverses"
"L'Étang-Salé";97404;2010;28;11,8;"PAPAM";"L'ETANG-SALE";11,75;"plantes à parfum, aromatiques, médicinales"
"L'Étang-Salé";97404;2020;17;4,85;"PAPAM";"L'ETANG-SALE";4,4;"plantes à parfum, aromatiques, médicinales"
"L'Étang-Salé";97404;2010;4;1,21;"Horticulture";"L'ETANG-SALE";0;"Fleurs et plantes ornementales"
"L'Étang-Salé";97404;2020;5;0,89;"Horticulture";"L'ETANG-SALE";0,89;"Fleurs et plantes ornementales"
"Petite-Île";97405;2010;38;39,73;"STH & fourrages";"PETITE-ILE";6,26;NA
"Petite-Île";97405;2020;23;55,51;"STH & fourrages";"PETITE-ILE";3,23;NA
"Petite-Île";97405;2010;199;133,27;"Maraîchage & tubercules";"PETITE-ILE";70,2;NA
"Petite-Île";97405;2020;171;103,06;"Maraîchage & tubercules";"PETITE-ILE";60,59;NA
"Petite-Île";97405;2010;13;3,98;"Céréales";"PETITE-ILE";0,93;"céréales"
"Petite-Île";97405;2020;7;1,98;"Céréales";"PETITE-ILE";NA;"céréales"
"Petite-Île";97405;2010;0;0;"Grain";"PETITE-ILE";0;"protéagineux et légumes secs pour leur graine"
"Petite-Île";97405;2020;NA;NA;"Grain";"PETITE-ILE";NA;"protéagineux et légumes secs pour leur graine"
"Petite-Île";97405;2010;219;1113,64;"Canne à sucre";"PETITE-ILE";424;"plantes à fibres et plantes industrielles diverses"
"Petite-Île";97405;2020;160;948,25;"Canne à sucre";"PETITE-ILE";372,19;"plantes à fibres et plantes industrielles diverses"
"Petite-Île";97405;2010;52;12,15;"PAPAM";"PETITE-ILE";7,44;"plantes à parfum, aromatiques, médicinales"
"Petite-Île";97405;2020;55;20,64;"PAPAM";"PETITE-ILE";16,09;"plantes à parfum, aromatiques, médicinales"
"Petite-Île";97405;2010;NA;NA;"Horticulture";"PETITE-ILE";0;"Fleurs et plantes ornementales"
"Petite-Île";97405;2020;9;5,85;"Horticulture";"PETITE-ILE";4,98;"Fleurs et plantes ornementales"
"La Plaine-des-Palmistes";97406;2010;54;390,39;"STH & fourrages";"LA PLAINE-DES-PALMISTES";0;NA
"La Plaine-des-Palmistes";97406;2020;31;302,28;"STH & fourrages";"LA PLAINE-DES-PALMISTES";0;NA
"La Plaine-des-Palmistes";97406;2010;34;20,16;"Maraîchage & tubercules";"LA PLAINE-DES-PALMISTES";6,27;NA
"La Plaine-des-Palmistes";97406;2020;22;7,27;"Maraîchage & tubercules";"LA PLAINE-DES-PALMISTES";2,58;NA
"La Plaine-des-Palmistes";97406;2010;0;0;"Céréales";"LA PLAINE-DES-PALMISTES";0;"céréales"
"La Plaine-des-Palmistes";97406;2020;0;0;"Céréales";"LA PLAINE-DES-PALMISTES";NA;"céréales"
"La Plaine-des-Palmistes";97406;2010;0;0;"Grain";"LA PLAINE-DES-PALMISTES";0;"protéagineux et légumes secs pour leur graine"
"La Plaine-des-Palmistes";97406;2020;0;0;"Grain";"LA PLAINE-DES-PALMISTES";NA;"protéagineux et légumes secs pour leur graine"
"La Plaine-des-Palmistes";97406;2010;5;12,45;"Canne à sucre";"LA PLAINE-DES-PALMISTES";NA;"plantes à fibres et plantes industrielles diverses"
"La Plaine-des-Palmistes";97406;2020;0;0;"Canne à sucre";"LA PLAINE-DES-PALMISTES";NA;"plantes à fibres et plantes industrielles diverses"
"La Plaine-des-Palmistes";97406;2010;12;2,75;"PAPAM";"LA PLAINE-DES-PALMISTES";1,09;"plantes à parfum, aromatiques, médicinales"
"La Plaine-des-Palmistes";97406;2020;9;14,21;"PAPAM";"LA PLAINE-DES-PALMISTES";0,05;"plantes à parfum, aromatiques, médicinales"
"La Plaine-des-Palmistes";97406;2010;4;1,5;"Horticulture";"LA PLAINE-DES-PALMISTES";0;"Fleurs et plantes ornementales"
"La Plaine-des-Palmistes";97406;2020;4;1,19;"Horticulture";"LA PLAINE-DES-PALMISTES";1,19;"Fleurs et plantes ornementales"
"Le Port";97407;2010;0;0;"STH & fourrages";"LE PORT";0;NA
"Le Port";97407;2020;0;0;"STH & fourrages";"LE PORT";0;NA
"Le Port";97407;2010;7;2,26;"Maraîchage & tubercules";"LE PORT";2,01;NA
"Le Port";97407;2020;4;2,7;"Maraîchage & tubercules";"LE PORT";2,7;NA
"Le Port";97407;2010;NA;NA;"Céréales";"LE PORT";0;"céréales"
"Le Port";97407;2020;0;0;"Céréales";"LE PORT";NA;"céréales"
"Le Port";97407;2010;0;0;"Grain";"LE PORT";0;"protéagineux et légumes secs pour leur graine"
"Le Port";97407;2020;0;0;"Grain";"LE PORT";NA;"protéagineux et légumes secs pour leur graine"
"Le Port";97407;2010;NA;NA;"Canne à sucre";"LE PORT";NA;"plantes à fibres et plantes industrielles diverses"
"Le Port";97407;2020;NA;NA;"Canne à sucre";"LE PORT";NA;"plantes à fibres et plantes industrielles diverses"
"Le Port";97407;2010;7;1,97;"PAPAM";"LE PORT";1,97;"plantes à parfum, aromatiques, médicinales"
"Le Port";97407;2020;5;2,97;"PAPAM";"LE PORT";2,97;"plantes à parfum, aromatiques, médicinales"
"Le Port";97407;2010;NA;NA;"Horticulture";"LE PORT";0;"Fleurs et plantes ornementales"
"Le Port";97407;2020;NA;0,74;"Horticulture";"LE PORT";NA;"Fleurs et plantes ornementales"
"La Possession";97408;2010;23;34,45;"STH & fourrages";"LA POSSESSION";6,81;NA
"La Possession";97408;2020;3;4,5;"STH & fourrages";"LA POSSESSION";0;NA
"La Possession";97408;2010;93;40,06;"Maraîchage & tubercules";"LA POSSESSION";31,98;NA
"La Possession";97408;2020;43;22,19;"Maraîchage & tubercules";"LA POSSESSION";19,8;NA
"La Possession";97408;2010;36;16,6;"Céréales";"LA POSSESSION";14,25;"céréales"
"La Possession";97408;2020;0;0;"Céréales";"LA POSSESSION";NA;"céréales"
"La Possession";97408;2010;4;0,13;"Grain";"LA POSSESSION";0,11;"protéagineux et légumes secs pour leur graine"
"La Possession";97408;2020;0;0;"Grain";"LA POSSESSION";NA;"protéagineux et légumes secs pour leur graine"
"La Possession";97408;2010;13;70,05;"Canne à sucre";"LA POSSESSION";NA;"plantes à fibres et plantes industrielles diverses"
"La Possession";97408;2020;7;42,45;"Canne à sucre";"LA POSSESSION";NA;"plantes à fibres et plantes industrielles diverses"
"La Possession";97408;2010;29;3,46;"PAPAM";"LA POSSESSION";3,41;"plantes à parfum, aromatiques, médicinales"
"La Possession";97408;2020;15;2,31;"PAPAM";"LA POSSESSION";2,29;"plantes à parfum, aromatiques, médicinales"
"La Possession";97408;2010;5;1,45;"Horticulture";"LA POSSESSION";0;"Fleurs et plantes ornementales"
"La Possession";97408;2020;4;1,55;"Horticulture";"LA POSSESSION";1,5;"Fleurs et plantes ornementales"
"Saint-André";97409;2010;33;127,56;"STH & fourrages";"SAINT-ANDRE";1,41;NA
"Saint-André";97409;2020;10;7,67;"STH & fourrages";"SAINT-ANDRE";0;NA
"Saint-André";97409;2010;75;32,86;"Maraîchage & tubercules";"SAINT-ANDRE";19,38;NA
"Saint-André";97409;2020;65;29,89;"Maraîchage & tubercules";"SAINT-ANDRE";20,74;NA
"Saint-André";97409;2010;NA;NA;"Céréales";"SAINT-ANDRE";NA;"céréales"
"Saint-André";97409;2020;4;0,69;"Céréales";"SAINT-ANDRE";NA;"céréales"
"Saint-André";97409;2010;0;0;"Grain";"SAINT-ANDRE";0;"protéagineux et légumes secs pour leur graine"
"Saint-André";97409;2020;0;0;"Grain";"SAINT-ANDRE";NA;"protéagineux et légumes secs pour leur graine"
"Saint-André";97409;2010;166;2627,81;"Canne à sucre";"SAINT-ANDRE";85,27;"plantes à fibres et plantes industrielles diverses"
"Saint-André";97409;2020;118;2313,28;"Canne à sucre";"SAINT-ANDRE";104,82;"plantes à fibres et plantes industrielles diverses"
"Saint-André";97409;2010;34;7,53;"PAPAM";"SAINT-ANDRE";5,08;"plantes à parfum, aromatiques, médicinales"
"Saint-André";97409;2020;39;13,04;"PAPAM";"SAINT-ANDRE";8,57;"plantes à parfum, aromatiques, médicinales"
"Saint-André";97409;2010;8;3,78;"Horticulture";"SAINT-ANDRE";0;"Fleurs et plantes ornementales"
"Saint-André";97409;2020;4;1,02;"Horticulture";"SAINT-ANDRE";1,02;"Fleurs et plantes ornementales"
"Saint-Benoît";97410;2010;62;288,92;"STH & fourrages";"SAINT-BENOIT";0;NA
"Saint-Benoît";97410;2020;31;156,56;"STH & fourrages";"SAINT-BENOIT";0;NA
"Saint-Benoît";97410;2010;95;65,32;"Maraîchage & tubercules";"SAINT-BENOIT";6,31;NA
"Saint-Benoît";97410;2020;52;15,7;"Maraîchage & tubercules";"SAINT-BENOIT";2,76;NA
"Saint-Benoît";97410;2010;0;0;"Céréales";"SAINT-BENOIT";0;"céréales"
"Saint-Benoît";97410;2020;3;0,8;"Céréales";"SAINT-BENOIT";NA;"céréales"
"Saint-Benoît";97410;2010;NA;NA;"Grain";"SAINT-BENOIT";0;"protéagineux et légumes secs pour leur graine"
"Saint-Benoît";97410;2020;NA;0,1;"Grain";"SAINT-BENOIT";NA;"protéagineux et légumes secs pour leur graine"
"Saint-Benoît";97410;2010;409;2832,96;"Canne à sucre";"SAINT-BENOIT";NA;"plantes à fibres et plantes industrielles diverses"
"Saint-Benoît";97410;2020;347;2723,76;"Canne à sucre";"SAINT-BENOIT";NA;"plantes à fibres et plantes industrielles diverses"
"Saint-Benoît";97410;2010;17;5,42;"PAPAM";"SAINT-BENOIT";0,52;"plantes à parfum, aromatiques, médicinales"
"Saint-Benoît";97410;2020;34;23,5;"PAPAM";"SAINT-BENOIT";1,65;"plantes à parfum, aromatiques, médicinales"
"Saint-Benoît";97410;2010;20;20,8;"Horticulture";"SAINT-BENOIT";0;"Fleurs et plantes ornementales"
"Saint-Benoît";97410;2020;11;15,48;"Horticulture";"SAINT-BENOIT";1,06;"Fleurs et plantes ornementales"
"Saint-Denis";97411;2010;59;47,48;"STH & fourrages";"SAINT-DENIS";2,28;NA
"Saint-Denis";97411;2020;10;18,78;"STH & fourrages";"SAINT-DENIS";0;NA
"Saint-Denis";97411;2010;142;68,76;"Maraîchage & tubercules";"SAINT-DENIS";55,82;NA
"Saint-Denis";97411;2020;66;32,46;"Maraîchage & tubercules";"SAINT-DENIS";26;NA
"Saint-Denis";97411;2010;10;2,59;"Céréales";"SAINT-DENIS";0,64;"céréales"
"Saint-Denis";97411;2020;NA;2;"Céréales";"SAINT-DENIS";NA;"céréales"
"Saint-Denis";97411;2010;0;0;"Grain";"SAINT-DENIS";0;"protéagineux et légumes secs pour leur graine"
"Saint-Denis";97411;2020;0;0;"Grain";"SAINT-DENIS";NA;"protéagineux et légumes secs pour leur graine"
"Saint-Denis";97411;2010;37;117,05;"Canne à sucre";"SAINT-DENIS";NA;"plantes à fibres et plantes industrielles diverses"
"Saint-Denis";97411;2020;17;256,78;"Canne à sucre";"SAINT-DENIS";NA;"plantes à fibres et plantes industrielles diverses"
"Saint-Denis";97411;2010;83;8,91;"PAPAM";"SAINT-DENIS";8;"plantes à parfum, aromatiques, médicinales"
"Saint-Denis";97411;2020;29;10,2;"PAPAM";"SAINT-DENIS";5,25;"plantes à parfum, aromatiques, médicinales"
"Saint-Denis";97411;2010;23;6,04;"Horticulture";"SAINT-DENIS";0;"Fleurs et plantes ornementales"
"Saint-Denis";97411;2020;12;2,36;"Horticulture";"SAINT-DENIS";2,36;"Fleurs et plantes ornementales"
"Saint-Joseph";97412;2010;140;623,84;"STH & fourrages";"SAINT-JOSEPH";3,6;NA
"Saint-Joseph";97412;2020;80;421,65;"STH & fourrages";"SAINT-JOSEPH";0;NA
"Saint-Joseph";97412;2010;264;146,99;"Maraîchage & tubercules";"SAINT-JOSEPH";29,59;NA
"Saint-Joseph";97412;2020;219;80,39;"Maraîchage & tubercules";"SAINT-JOSEPH";36,76;NA
"Saint-Joseph";97412;2010;46;11,76;"Céréales";"SAINT-JOSEPH";NA;"céréales"
"Saint-Joseph";97412;2020;3;0,82;"Céréales";"SAINT-JOSEPH";NA;"céréales"
"Saint-Joseph";97412;2010;NA;NA;"Grain";"SAINT-JOSEPH";0;"protéagineux et légumes secs pour leur graine"
"Saint-Joseph";97412;2020;0;0;"Grain";"SAINT-JOSEPH";NA;"protéagineux et légumes secs pour leur graine"
"Saint-Joseph";97412;2010;279;1700,59;"Canne à sucre";"SAINT-JOSEPH";41,22;"plantes à fibres et plantes industrielles diverses"
"Saint-Joseph";97412;2020;244;1638,32;"Canne à sucre";"SAINT-JOSEPH";67,2;"plantes à fibres et plantes industrielles diverses"
